cv_id,organization,position,status,startDate,endDate,linkedin
208,B&R Industrial Automation,HW-Developer BU Motion,ACTIVE,2013-09,,https://www.linkedin.com/company/b&r-industrial-automation
209,Atlas Copco Holding GmbH,Head of Organization Projects and Facility Operations,ACTIVE,2025-01,,
211,ERGO Group AG,Head of Global Life Products,ACTIVE,2019-04,,https://www.linkedin.com/company/ergo-group-ag
212,Benno Therapeutics,Investor,ACTIVE,2024-01,,https://www.linkedin.com/company/bennotx
212,Cellab - CDMO,Investor,ACTIVE,2023-12,,https://www.linkedin.com/company/cellabcdmo
212,CimCure B.V.,Investor,ACTIVE,2023-01,,https://www.linkedin.com/company/cimcure-b-v
212,Neurocast,Investor,ACTIVE,2023-01,,https://www.linkedin.com/company/neurocast
212,Omnio AB,Investor,ACTIVE,2022-07,,https://www.linkedin.com/company/omnio-ab
212,Reunion Capital,Founder,ACTIVE,2022-04,,
212,Amsterdam UMC,Professor,ACTIVE,2008-02,,https://www.linkedin.com/company/amsterdamumc
213,Muldental Elektronik GmbH,Geschäftsführer,ACTIVE,1996-04,,
214,HICO CANADA INC.,Executive Assistant to the President,ACTIVE,2023-08,,
216,Freshfields Bruckhaus Deringer,Partner,ACTIVE,1994,,https://www.linkedin.com/company/freshfields
217,Nolis GmbH,Webentwickler,ACTIVE,2015-03,,
218,GreenGaraGe GmbH,Director Construction & Engineering,ACTIVE,2019-03,,
218,Baum Consulting Ingenieur Büro,Geschäftsführender Inhaber,ACTIVE,2017-07,,
220,Westsächsische Hochschule Zwickau,Dekanatsrätin,ACTIVE,1986-01,,
221,KIX Service Software GmbH,Mitarbeiter Produktmanagement,ACTIVE,2023-01,,https://www.linkedin.com/company/kix-service-software
222,KPMG Deutschland,Manager | Prokurist | Strategie- und Managementberatung Financial Services,ACTIVE,2023-10,,https://www.linkedin.com/company/kpmg-deutschland
223,Fish Corb Films,Head of Development,ACTIVE,2010-03,,
223,University of Malta,Part Time lecturer in Principles of writing and in Mythology,ACTIVE,2006-10,,
223,Drunken Angel Films,Development director / scriptwriter,ACTIVE,2000-01,,
224,OBSS,Manager,ACTIVE,2025-03,,https://www.linkedin.com/company/obss
225,Alteams Oy,Chairman of the Board,ACTIVE,2024-07,,
225,Jofin Consulting Oy,Independent Consultant,ACTIVE,2024-01,,
226,AL-KO Vehicle Technology Group,Stammdatenmanager R&D ENGINEERING / R&D,ACTIVE,2024-04,,https://www.linkedin.com/company/al-ko-vehicle-technology
227,Binder Gruppe,aktiver Gesellschafter,ACTIVE,2012-08,,https://www.linkedin.com/company/bindergruppe
227,egf Manufaktur,aktiver Gesellschafter,ACTIVE,1996-01,,https://www.linkedin.com/company/egf-manufaktur
228,"Erich Keller AG - Innenausbau, Design + Technik",Leiter Produktion / Mitinhaber,ACTIVE,2021-04,,https://www.linkedin.com/company/erichkeller
228,"Erich Keller AG - Innenausbau, Design + Technik",Leiter Produktion,ACTIVE,1992-01,,https://www.linkedin.com/company/erichkeller
229,Seller Ventures,Senior Manager,ACTIVE,2016-03,,https://www.linkedin.com/company/seller-ventures
232,Benchmark Foam Inc,President,ACTIVE,2016-10,,https://www.linkedin.com/company/benchmark-foam-inc
233,Rust-Oleum Canada,Senior Brand Manager,ACTIVE,2025-04,,https://www.linkedin.com/company/rustoleumca
235,Lipoid GmbH,Leiter Instandhaltung,ACTIVE,2018-03,,
236,Saottini Auto,Salesman,ACTIVE,2023-06,,https://www.linkedin.com/company/saottini-auto
237,SS&C Technologies,Senior Human Resources Manager,ACTIVE,2022-01,,https://www.linkedin.com/company/ss-c-technologies
239,Sparkasse Schaumburg,Direktor,ACTIVE,2015-08,,https://www.linkedin.com/company/sparkasse-schaumburg
240,KatKin,Influencer Marketing Executive,ACTIVE,2025-05,,https://www.linkedin.com/company/katkin
241,Orthosteo Praxis,Unternehmensinhaber,ACTIVE,2022-10,,https://www.linkedin.com/company/orthosteo-praxis
242,Woody-Display,Vizepräsident Junior,ACTIVE,2020-08,,
243,DERTOUR Austria GmbH,Prokurist / Direktor Touristik,ACTIVE,2023-10,,
